Source Stations;Shinkansen_Line;Destination Stations;Distance; Cost (Yen) ;Durations (Min);Line;;;;;;;;;
Tokyo;Tokaido_Shinkansen;Shinagawa;6.7; ¥1.050 ;6;Kodama ;;;;;;;;;
Shinagawa;Tokaido_Shinkansen;Shin-Yokohama;18.9; ¥1.290 ;10;Kodama ;;;;;;;;;
Shin-Yokohama;Tokaido_Shinkansen;Odawara;51.2; ¥1.980 ;15;Kodama;;;;;;;;;
Shin-Yokohama;Tokaido_Shinkansen;Odawara;51.2; ¥1.980 ;14;Hikari;;;;;;;;;
Shin-Yokohama;Tokaido_Shinkansen;Nagoya;316.2; ¥9.900 ;83;Hikari;;;;;;;;;
Shin-Yokohama;Tokaido_Shinkansen;Nagoya;316.2; ¥9.900 ;76;Nozomi;;;;;;;;;
Shin-Yokohama;Tokaido_Shinkansen;Kyoto;450.7; ¥12.650 ;116;Nozomi;;;;;;;;;
Shin-Yokohama;Tokaido_Shinkansen;Shin-Osaka;489.9; ¥13.540 ;128;Nozomi;;;;;;;;;
Odawara;Tokaido_Shinkansen;Atami;18.8; ¥1.290 ;7;Kodama;;;;;;;;;
Atami;Tokaido_Shinkansen;Mishima;16; ¥1.200 ;7;Kodama;;;;;;;;;
Mishima ;Tokaido_Shinkansen;Shin-Fuji;23.8; ¥1.380 ;9;Kodama;;;;;;;;;
Shin-Fuji;Tokaido_Shinkansen;Shizuoka;32.2; ¥1.460 ;11;Kodama;;;;;;;;;
Shizuoka;Tokaido_Shinkansen;Kakegawa;44; ¥1.730 ;14;Kodama;;;;;;;;;
Kakegawa;Tokaido_Shinkansen;Hamamatsu;27.6; ¥1.380 ;11;Kodama;;;;;;;;;
Hamamatsu;Tokaido_Shinkansen;Toyohashi;35.3; ¥2.930 ;27;Kodama;;;;;;;;;
Toyohashi;Tokaido_Shinkansen;Mikawa-Anjo;39.1; ¥1.640 ;13;Kodama;;;;;;;;;
Mikawa-Anjo;Tokaido_Shinkansen;Nagoya;29.3; ¥1.360 ;12;Kodama;;;;;;;;;
Nagoya;Tokaido_Shinkansen;Gifu-Hashima;25.1; ¥1.470 ;11;Kodama;;;;;;;;;
Nagoya;Tokaido_Shinkansen;Kyoto;134.5; ¥5.170 ;35;Nozomi;;;;;;;;;
Nagoya;Tokaido_Shinkansen;Kyoto;134.5; ¥5.170 ;53;Hikari;;;;;;;;;
Nagoya;Tokaido_Shinkansen;Shin-Osaka;173.7; ¥5.940 ;48;Nozomi;;;;;;;;;
Nagoya;Tokaido_Shinkansen;Shin-Osaka;173.7; ¥5.940 ;68;Hikari;;;;;;;;;
Gifu-Hashima;Tokaido_Shinkansen;Maibara;49.8; ¥1.730 ;13;Kodama;;;;;;;;;
Maibara;Tokaido_Shinkansen;Kyoto;68.2; ¥2.160 ;18;Kodama;;;;;;;;;
Kyoto;Tokaido_Shinkansen;Shin-Osaka;39.3; ¥1.450 ;14;Kodama;;;;;;;;;
Kyoto;Tokaido_Shinkansen;Shin-Osaka;39.3; ¥1.450 ;13;Hikari;;;;;;;;;
Kyoto;Tokaido_Shinkansen;Shin-Osaka;39.3; ¥1.450 ;14;Nozomi;;;;;;;;;
Tokyo;Tohoku_Shinkansen;Ueno;3.7; ¥1.050 ;5;Hayabusa;;;;;;;;;
Tokyo;Tohoku_Shinkansen;Ueno;3.7; ¥1.050 ;5;Komachi;;;;;;;;;
Tokyo;Tohoku_Shinkansen;Ueno;3.7; ¥1.050 ;5;Yamabiko;;;;;;;;;
Tokyo;Tohoku_Shinkansen;Ueno;3.7; ¥1.050 ;5;Nasuno;;;;;;;;;
Tokyo;Tohoku_Shinkansen;Ueno;3.7; ¥1.050 ;5;Tsubasa;;;;;;;;;
Ueno;Tohoku_Shinkansen;Omiya;26.7; ¥1.370 ;17;Hayabusa;;;;;;;;;
